Time [s],Pressure at Venturi 1 [ADC],Pressure at Venturi 2 [ADC],Inspiratory (Postive) Flow at Venturi 1 [ADC],Expiratory (Negative) Flow at Venturi 1 [ADC],Inspiratory (Postive) Flow at Venturi 2 [ADC],Expiratory (Negative) Flow at Venturi 2 [ADC]
1.474,0,0,0,0,0,0
1.478,124,131,205,206,207,203
1.496,111,119,205,201,215,204
1.499,100,110,209,204,227,205
1.515,92,102,221,204,244,207
1.519,86,96,233,206,259,209
1.533,83,93,245,206,270,214
1.543,77,89,255,212,280,224
1.557,75,85,263,214,287,227
1.567,75,85,269,210,287,233
1.579,76,85,274,218,294,239
1.594,76,85,276,221,297,239
1.607,75,85,277,223,300,241
1.618,79,90,276,223,303,246
1.629,80,89,276,227,303,242
1.641,81,91,280,224,306,247
1.653,82,93,279,228,310,246
1.663,87,94,281,221,310,245
1.675,82,94,281,223,315,249
1.685,85,97,281,226,316,252
1.699,89,100,283,227,319,255
1.712,91,104,279,227,320,250
1.724,94,101,283,224,323,252
1.734,97,106,282,230,325,248
1.748,94,104,286,227,328,258
1.759,94,103,287,232,329,256
1.769,95,105,285,232,330,257
1.781,96,108,290,231,332,259
1.795,98,106,286,228,332,256
1.807,97,108,288,231,336,255
1.816,95,104,288,224,336,257
1.831,97,106,291,232,335,262
1.841,93,105,290,232,338,260
1.853,91,104,293,233,339,259
1.865,96,107,294,232,343,265
1.876,91,106,293,232,340,273
1.89,100,108,294,235,343,262
1.901,95,107,292,236,344,259
1.913,97,108,293,234,343,262
1.923,97,105,293,235,343,260
1.937,94,108,294,234,342,265
1.946,95,110,292,227,343,265
1.958,98,112,294,233,344,260
1.972,101,111,291,231,344,264
1.983,100,116,289,228,341,261
1.996,98,113,287,233,344,262
2.01,106,116,289,230,342,264
2.019,104,116,284,230,341,265
2.031,99,114,286,230,339,267
2.043,104,118,284,231,341,261
2.055,105,114,284,232,338,264
2.069,105,118,283,230,337,263
2.078,113,123,282,226,337,262
2.089,105,120,279,227,332,264
2.103,110,121,280,225,335,261
2.115,104,117,279,232,334,261
2.127,103,119,281,227,337,264
2.139,110,122,280,227,335,254
2.15,107,116,280,227,337,259
2.162,106,118,280,232,334,259
2.173,110,121,280,233,334,262
2.187,106,117,280,230,335,262
2.198,106,118,281,230,335,262
2.21,112,120,281,229,336,260
2.222,115,120,279,229,332,262
2.234,107,117,281,231,336,263
2.247,105,116,280,228,337,259
2.259,100,116,281,231,335,263
2.268,104,121,280,232,337,259
2.283,103,116,281,229,336,263
2.295,108,118,281,228,333,257
2.306,106,117,284,229,336,260
2.319,105,118,283,230,335,263
2.33,106,116,283,233,340,260
2.339,100,112,284,231,337,265
2.354,105,115,285,233,339,259
2.365,102,114,286,230,337,264
2.378,104,117,284,231,334,266
2.39,98,118,285,226,339,262
2.402,97,113,285,231,339,258
2.415,103,116,284,235,337,261
2.426,106,115,287,232,341,260
2.437,96,113,288,233,342,261
2.449,95,111,285,230,341,262
2.459,97,111,289,227,339,267
2.472,94,109,290,231,341,263
2.485,98,110,290,233,341,263
2.497,106,116,289,227,344,261
2.506,101,118,290,233,341,263
2.52,105,114,289,229,340,262
2.532,104,118,287,231,339,257
2.542,102,115,287,226,340,265
2.555,106,119,287,235,341,263
2.567,109,119,283,231,338,261
2.581,106,117,284,228,338,262
2.591,101,117,281,228,335,264
2.602,111,123,281,224,334,260
2.615,107,119,277,225,333,266
2.63,107,119,279,222,334,263
2.639,105,121,277,224,334,260
2.652,112,124,276,228,336,259
2.666,111,121,280,223,335,262
2.675,110,121,277,230,333,258
2.686,106,120,279,229,333,256
2.699,103,118,281,227,336,261
2.712,106,119,279,226,334,262
2.723,106,116,280,230,335,264
2.735,104,118,281,224,334,258
2.746,105,117,278,228,332,257
2.76,107,119,277,226,332,258
2.772,108,122,279,233,333,261
2.782,107,120,277,229,332,260
2.794,109,120,275,227,330,259
2.807,109,122,274,231,333,258
2.818,109,122,274,230,330,260
2.832,109,120,274,226,330,259
2.843,109,124,272,226,326,260
2.856,114,124,273,229,327,263
2.867,111,123,271,225,327,256
2.88,110,126,270,227,326,258
2.893,113,125,268,225,325,252
2.902,113,127,269,224,325,261
2.914,113,127,270,226,327,255
2.927,117,128,271,222,326,254
2.94,108,124,265,221,326,251
2.952,110,124,269,227,324,256
2.961,112,125,268,226,324,251
2.975,115,127,269,223,322,255
2.988,109,126,272,226,326,255
2.998,106,125,271,221,327,255
3.01,112,123,268,225,323,254
3.022,109,125,272,225,326,260
3.034,111,123,270,223,325,256
3.046,113,124,270,225,326,254
3.058,114,122,271,224,324,257
3.07,110,124,271,222,325,256
3.082,111,127,270,224,325,259
3.096,106,122,269,224,327,252
3.105,110,124,270,226,325,255
3.117,113,124,269,226,323,251
3.13,116,127,267,226,323,255
3.142,113,129,265,225,322,256
3.154,116,129,265,226,321,255
3.166,115,129,263,224,321,249
3.179,118,130,263,222,318,251
3.19,115,130,264,223,319,255
3.201,113,128,264,224,319,250
3.214,114,127,263,223,320,251
3.227,115,131,264,221,320,253
3.237,113,127,264,222,319,254
3.25,119,130,263,222,319,250
3.261,118,132,262,219,319,254
3.274,115,129,262,221,314,252
3.286,118,133,259,226,317,252
3.297,117,133,257,218,314,248
3.308,122,134,254,223,311,247
3.321,123,138,253,219,313,249
3.333,123,135,252,222,310,252
3.345,120,135,251,221,310,245
3.356,125,138,251,221,306,243
3.37,127,142,249,215,307,241
3.381,123,137,250,218,304,241
3.395,119,135,249,218,304,245
