Time [s],Pressure at Venturi 1 [ADC],Pressure at Venturi 2 [ADC],Inspiratory (Postive) Flow at Venturi 1 [ADC],Expiratory (Negative) Flow at Venturi 1 [ADC],Inspiratory (Postive) Flow at Venturi 2 [ADC],Expiratory (Negative) Flow at Venturi 2 [ADC]
1.473,0,0,0,0,0,0
1.494,152,162,202,206,210,205
1.501,152,161,202,206,211,206
1.504,151,161,202,206,211,205
1.519,152,161,203,205,212,205
1.526,151,160,203,205,212,205
1.539,150,161,203,205,212,205
1.55,149,161,203,205,213,205
1.562,154,163,202,204,214,205
1.574,153,163,202,205,213,206
1.587,152,163,203,203,214,206
1.599,151,162,203,204,214,206
1.613,151,162,203,203,214,205
1.623,151,161,202,204,214,207
1.632,151,161,203,204,214,206
1.647,153,161,203,204,214,205
1.656,152,162,202,205,214,205
1.671,152,163,203,205,214,206
1.68,150,162,204,204,214,205
1.695,151,162,203,204,214,206
1.704,151,161,203,203,214,205
1.718,147,160,203,203,215,206
1.729,150,161,202,204,216,206
1.743,151,161,203,204,215,205
1.753,152,161,203,204,217,206
1.764,150,162,203,203,218,206
1.778,149,160,202,203,218,207
1.789,150,162,203,203,219,206
1.802,149,161,203,203,220,206
1.813,150,160,203,203,220,206
1.825,151,161,202,203,219,206
1.837,149,162,203,203,221,208
1.848,149,162,203,203,221,207
1.862,151,161,203,203,221,207
1.873,148,160,204,203,222,206
1.886,148,160,202,203,223,207
1.895,150,160,203,203,224,207
1.911,149,161,204,204,224,207
1.92,146,158,203,204,226,207
1.933,147,159,204,204,227,208
1.942,146,157,204,203,227,207
1.957,148,159,204,203,227,207
1.968,148,160,204,203,228,208
1.98,149,160,204,204,229,209
1.991,145,159,204,204,231,208
2.003,146,159,205,204,231,209
2.015,147,159,204,204,233,208
2.027,143,157,204,204,232,209
2.04,145,157,205,204,233,209
2.05,145,157,205,205,235,209
2.064,142,156,205,204,235,210
2.075,142,155,205,205,236,210
2.088,142,156,206,205,237,210
2.1,139,155,206,204,238,211
2.113,141,154,207,204,239,211
2.122,144,160,206,204,240,211
2.136,137,152,207,205,240,214
2.146,140,152,208,205,240,211
2.158,140,153,208,206,243,213
2.17,138,151,209,206,246,213
2.182,136,150,211,206,246,215
2.195,137,151,211,205,247,214
2.206,138,150,212,206,249,214
2.218,138,150,212,207,250,218
2.232,138,149,212,206,250,215
2.244,136,150,212,206,250,216
2.253,137,149,213,206,253,219
2.266,132,146,213,207,255,219
2.277,136,149,214,208,255,220
2.291,135,150,213,207,254,221
2.302,135,150,213,206,257,217
2.314,135,148,214,207,255,218
2.325,136,148,216,207,255,220
2.337,135,149,214,207,256,219
2.349,132,146,215,207,255,218
2.362,136,147,216,207,258,221
2.374,136,148,216,208,258,221
2.384,129,145,216,210,258,220
2.396,132,146,218,208,259,220
2.409,131,146,218,209,261,222
2.421,131,146,219,211,262,221
2.432,132,145,219,207,263,221
2.446,130,144,218,208,263,224
2.458,131,145,220,208,264,225
2.468,133,147,219,209,265,222
2.482,131,145,221,209,265,223
2.494,133,147,219,209,266,220
2.504,131,146,220,211,265,225
2.516,129,144,220,210,265,222
2.53,130,146,220,209,266,223
2.541,128,143,221,209,266,224
2.552,131,145,222,208,268,225
2.567,131,143,221,208,268,226
2.576,132,144,223,208,267,223
2.589,129,143,224,208,269,227
2.598,129,144,224,211,270,225
2.612,132,143,224,208,268,226
2.625,132,142,224,210,270,224
2.634,132,144,224,210,270,228
2.649,126,142,225,210,273,226
2.66,125,141,225,210,273,227
2.673,125,141,226,210,274,227
2.685,127,142,226,211,273,229
2.695,126,141,225,213,274,228
2.708,126,141,226,210,275,229
2.721,126,140,228,210,274,232
2.733,123,139,228,213,275,230
2.742,126,141,229,210,274,228
2.757,125,142,228,211,276,228
2.767,126,140,228,212,277,230
2.779,127,138,230,210,277,231
2.791,123,138,230,213,279,233
2.802,122,137,231,212,279,232
2.817,124,139,230,211,279,230
2.826,121,138,231,213,281,227
2.841,120,137,232,212,279,229
2.852,123,140,230,211,279,230
2.861,126,137,231,212,280,232
2.877,126,138,234,212,282,228
2.887,121,136,233,210,282,235
2.9,120,136,233,211,283,231
2.91,123,137,234,210,283,233
2.924,118,136,235,215,286,231
2.937,120,135,236,214,284,238
2.946,124,136,238,217,287,237
2.959,124,135,239,214,288,235
2.971,120,134,240,213,289,235
2.983,120,133,243,212,292,239
2.993,118,128,242,217,295,237
3.007,119,130,245,215,297,238
3.021,111,126,246,216,294,240
3.031,115,126,248,217,295,241
3.043,109,126,248,217,297,247
3.055,114,128,250,219,300,243
3.066,115,129,249,218,301,246
3.08,118,131,248,218,301,241
3.09,115,128,246,216,301,242
3.104,118,129,250,219,302,242
3.114,115,128,250,215,301,244
3.127,119,131,249,215,301,239
3.14,120,130,252,217,305,242
3.149,120,132,252,221,304,243
3.163,115,131,250,220,305,247
3.173,119,132,249,222,305,243
3.185,120,133,250,217,304,244
3.2,118,131,251,217,306,247
3.211,116,130,252,222,305,246
3.223,116,132,252,219,307,243
3.232,116,132,249,219,306,241
3.246,120,134,252,216,306,247
3.259,121,134,251,219,307,248
3.271,117,137,251,221,307,246
3.282,117,129,250,219,306,249
3.293,119,133,253,221,308,246
3.306,120,133,251,221,308,249
3.316,116,133,252,214,308,247
3.329,121,132,252,215,305,246
3.341,124,135,252,220,308,245
3.353,122,137,251,217,307,247
3.365,120,138,249,219,305,246
3.376,125,138,249,216,305,249
3.389,126,140,246,219,305,245
3.401,127,140,244,220,301,242
3.414,127,146,243,217,301,240
3.427,137,150,240,218,296,240
3.439,137,153,236,213,291,234
3.451,142,157,231,216,288,239
3.463,147,162,229,214,286,231
3.474,148,164,224,211,282,234
3.485,152,167,221,211,276,231
3.497,152,169,219,210,274,228
3.51,155,172,215,208,267,229
3.522,157,175,213,208,266,225
3.533,162,179,209,207,258,222
3.547,165,182,207,207,255,221
3.556,172,187,206,208,249,216
3.57,178,191,204,206,244,216
